"id","funkcja","podstawa_grz_czysta","podstawa_grz_obieg","podatek_fl","podatek_gr","podatek_grz","debita","varia","miejscowosc","osoba_zrd","wezwanie","rola_osoba","podstawa_gr","podstawa_fert","podatek_fert","dekanat"
884,[właściciel uposażenia],,,,,,,Miedzichod per dominum Iacobum Ostrorog,Miedzichod,Iacobus Ostrorog,,właściciel uposażenia,,,,Wronki
279,kolegium altarzystów,,,,,,,Altaristae in Pysdri,Pysdri,,,,,,,Pyzdry
487,kolegium altarzystów,,,,,,,Altaristae ibidem in Strzelcze,Strzelcze,,,,,,,Śrem
455,kolegium altarzystów,,,,,,,Altaristae ibidem,Srzem,,,,,,,Śrem
257,kolegium altarzystów,,,,,,,Altaristae in Costrzin,Costrzin,,,,,,,Poznań
338,kapituła kolegiacka,,,,,,,Collegium Szamotuli,Szamotuli,,,,,,,Oborniki
479,kolegium altarzystów,,,,,,,Altaristae ibidem in Gostin,Gostin,,,,,,,Śrem
974,[właściciel uposażenia],,,,,,,"Gabriel Ridzinski. Grossi quatuor dimissi, quia census per dominum Stanislaum Ridzinski tres marcarum non solvuntur",[Posnania],Stanislaw Ridzinski,,właściciel uposażenia,,,,
471,kolegium altarzystów,,,,,,,Altariste ibidem,Krziwin,,,,,,,Śrem
499,kolegium altarzystów,,,,,,,Altaristae ibidem,Poniecz,,,,,,,Śrem
517,kolegium altarzystów,,,,,,,Altaristae ibidem,Dolsko,,,,,,,Śrem
975,[wieś uposażeniowa],,,,,,,"Ioannes Piwo corporali iuramento deposuit, quod census in Ossieczna marcae sex dominus Andreas a Gorca ab annis sex occupavit, nec quicqu[am?] illi persolvit; [brak potwierdzenia wpłaty]; [funkcja na podstawie nagłówka w rękopisie A: «Ad sanctum Stanislaum in Posnania praebendarii»]",Ossieczna,,,,,,,
216,kolegium altarzystów,,,,,,,Altaristae sancti Stanislai,[Posnania],,św. Stanisław,,,,,
208,kolegium altarzystów kolegiackich,,,,,,,Altaristae eiusdem ecclesiae,Posnania,,św. Maria Magdalena,,,,,
205,kapituła kolegiacka,,,,,,,Collegium sancti Nicolai,[Posnania],,św. Mikołaj,,,,,
209,kolegium prebendarzy,,,,,,,Collegium sancti Stanislai in Posnania; [funkcja na podstawie nagłówka w rękopisie A: «Ad sanctum Stanislaum in Posnania praebendarii»],Posnania,,św. Stanisław,,,,,
204,kolegium altarzystów kolegiackich,,,,,,,Altaristae ibidem,Summum Posnaniense,,św. Maria,,,,,
206,kolegium altarzystów kolegiackich,,,,,,,Altaristae ibidem,[Posnania],,św. Mikołaj,,,,,
227,kolegium altarzystów,,,,,,,Altaristae sanctae Gertrudis,[Posnania],,św. Gertruda,,,,,
233,kolegium altarzystów,,,,,,,Altaristae in eadem ecclesia,[Posnania],,św. Marcin,,,,,
220,kolegium altarzystów,,,,,,,Altaristae ad Omnes Sanctos,[Posnania],,Wszyscy Św.,,,,,
