"id","slownik_id","typ","haslo_id","komentarz"
172,2302,instytucja,347,
173,2311,instytucja,348,
174,2363,instytucja,349,
175,2364,instytucja,353,
176,2365,instytucja,354,
177,1940,instytucja,355,
178,2357,instytucja,356,
179,2366,instytucja,358,
180,2367,instytucja,360,
181,2367,instytucja,361,
215,2298,instytucja,380,
182,25,osoba,360,
183,26,osoba,361,
35,23950,miejsce,290,
39,1,osoba,291,
45,2,osoba,293,
46,1,instytucja,292,
50,3,osoba,294,
51,4,osoba,295,
52,5,osoba,296,
53,6,osoba,297,
54,7,osoba,298,
55,8,osoba,299,
56,9,osoba,300,
57,10,osoba,301,
60,11,osoba,304,
61,12,osoba,305,
62,2,instytucja,306,
80,23950,miejsce,323,
85,13,osoba,328,
91,23901,miejsce,332,
93,3,instytucja,334,
94,14,osoba,335,
95,15,osoba,336,
96,16,osoba,337,
97,17,osoba,338,
98,18,osoba,339,
100,19,osoba,340,
101,3,instytucja,341,
102,20,osoba,342,
103,21,osoba,343,
108,22,osoba,349,
110,15727,miejsce,350,
112,23,osoba,352,
111,19580,miejsce,351,"Identyfikacja osady wątpliwa, w XVI wieku: Zaczułtowo Małe i Zaczułtowo Wielkie, obecnie Zasutowo"
118,4,instytucja,357,
119,24,osoba,358,
120,5,instytucja,359,
121,6,instytucja,291,
122,7,instytucja,293,
123,7,instytucja,294,
124,7,instytucja,295,
125,7,instytucja,296,
126,7,instytucja,297,
127,7,instytucja,298,
128,7,instytucja,299,
131,7,instytucja,300,
132,7,instytucja,301,
133,7,instytucja,304,
134,7,instytucja,305,
135,8,instytucja,307,
184,4,instytucja,362,
58,2,instytucja,302,
59,1,instytucja,303,
136,2321,instytucja,308,
137,2345,instytucja,309,
138,1973,instytucja,310,
139,1975,instytucja,311,
140,992,instytucja,312,
141,2314,instytucja,313,
142,1959,instytucja,314,
143,1943,instytucja,315,
145,1006,instytucja,316,
146,2350,instytucja,317,
147,2341,instytucja,318,
148,2356,instytucja,319,
149,1937,instytucja,320,
150,2339,instytucja,321,
151,2354,instytucja,322,
153,1953,instytucja,324,
154,2300,instytucja,325,
155,1957,instytucja,326,
156,2330,instytucja,327,
157,2322,instytucja,328,
158,1005,instytucja,329,
159,2340,instytucja,330,
160,2347,instytucja,331,
161,2310,instytucja,333,
162,2361,instytucja,344,
163,2362,instytucja,335,
164,2362,instytucja,336,
165,2362,instytucja,337,
166,2362,instytucja,338,
167,2362,instytucja,339,
168,2362,instytucja,340,
169,2362,instytucja,342,
170,2362,instytucja,343,
171,2296,instytucja,346,
185,2368,instytucja,363,
186,27,osoba,363,
187,2367,instytucja,364,
188,2370,instytucja,365,
189,28,osoba,364,
190,2369,instytucja,366,
191,29,osoba,365,
192,2370,instytucja,367,
193,30,osoba,367,
194,2370,instytucja,368,
195,31,osoba,368,
196,2370,instytucja,369,
197,32,osoba,369,
199,2370,instytucja,370,
198,33,osoba,370,"Nazwisko wątpliwe, możliwe także: Jakiert."
201,2370,instytucja,371,
202,34,osoba,371,
203,35,osoba,372,
204,2370,instytucja,372,
205,2371,instytucja,373,
206,2372,instytucja,375,
207,36,osoba,374,
208,37,osoba,375,
209,1997,instytucja,377,
210,38,osoba,376,
211,37,osoba,377,
212,8851,miejsce,376,
213,1003,instytucja,378,
214,2299,instytucja,379,
216,1942,instytucja,381,
218,39,osoba,383,
219,40,osoba,384,
220,2304,instytucja,385,
221,2318,instytucja,386,Parafia obsługiwana przez wikariusza.
222,41,osoba,387,
223,1952,instytucja,388,
224,1968,instytucja,389,
225,2374,instytucja,390,
226,1965,instytucja,391,
227,2312,instytucja,392,
228,2358,instytucja,393,
229,1947,instytucja,394,
230,2342,instytucja,395,
231,2317,instytucja,396,
232,2335,instytucja,397,
233,2353,instytucja,398,
235,2326,instytucja,399,
236,994,instytucja,400,
237,1000,instytucja,401,
238,1978,instytucja,402,
239,1954,instytucja,403,
240,2343,instytucja,404,
241,1974,instytucja,405,
244,989,instytucja,406,
249,2315,instytucja,407,
250,2349,instytucja,408,
251,1961,instytucja,409,
252,1960,instytucja,410,
253,2301,instytucja,411,
254,2325,instytucja,412,
255,1946,instytucja,413,
256,23901,miejsce,414,
258,2310,instytucja,415,
259,2303,instytucja,416,
260,2334,instytucja,417,
262,2375,instytucja,418,
263,997,instytucja,419,
264,991,instytucja,420,
265,2376,instytucja,421,
266,2336,instytucja,422,
267,1963,instytucja,423,
268,2346,instytucja,424,
269,2377,instytucja,425,
270,2309,instytucja,426,
271,2378,instytucja,427,
272,1009,instytucja,428,
274,23901,miejsce,429,
275,1951,instytucja,430,
276,42,osoba,431,"Kasper Potulicki, syn Mikołaja"
278,2379,instytucja,432,
279,2359,instytucja,435,
280,43,osoba,436,
281,2316,instytucja,433,
283,23985,miejsce,437,
284,2329,instytucja,438,
285,44,osoba,438,
286,2380,instytucja,439,
287,13432,miejsce,440,
288,2381,instytucja,441,
289,45,osoba,442,
290,46,osoba,443,
293,2333,instytucja,444,
294,1962,instytucja,445,
295,2344,instytucja,446,
297,2382,instytucja,447,
298,47,osoba,447,
299,1969,instytucja,448,
300,1002,instytucja,449,
301,2320,instytucja,450,
302,2327,instytucja,451,
303,4167,miejsce,453,
304,48,osoba,453,"Jan Tomicki, syn Mikołaja, kasztelan gnieźnieński"
305,2313,instytucja,452,
306,2383,instytucja,454,
307,2306,instytucja,455,
308,23985,miejsce,457,
309,1948,instytucja,456,
310,1007,instytucja,458,
312,2383,instytucja,459,
313,2351,instytucja,460,
314,23985,miejsce,461,
315,1972,instytucja,462,
