"instytucja_id","typ","lokalizacja","wikikul_id"
2382,altaria,22860,Q371
2390,altaria,22103,Q376
2383,altaria,22823,Q377
2392,altaria,22113,Q378
2394,altaria,22040,Q380
2396,altaria,22030,Q385
2375,altaria,22889,Q386
2377,altaria,22863,Q388
2389,altaria,22067,Q389
2399,altaria,22023,Q391
7,altaria,22893,Q392
2370,altaria,22882,Q395
2402,altaria,22091,Q397
2381,altaria,22842,Q399
2401,altaria,22082,Q403
2378,altaria,22818,Q406
2385,altaria,22017,Q407
2376,altaria,22807,Q414
4,kapituła kolegiacka,22882,Q427
1,kolegium altarzystów,22893,Q446
3,kolegium altarzystów,22819,Q453
2,kolegium mansjonarzy,22893,Q462
2095,plebania,22106,Q483
2290,plebania,22783,Q485
1977,plebania,22929,Q487
2063,plebania,22071,Q544
2281,plebania,22772,Q563
1964,plebania,22913,Q585
2333,plebania,22846,Q622
1939,plebania,22886,Q641
2239,plebania,22709,Q662
1992,plebania,21987,Q684
2025,plebania,22029,Q731
2030,plebania,22035,Q783
2331,plebania,22844,Q822
2051,plebania,22057,Q843
2325,plebania,22838,Q869
1960,plebania,22909,Q889
2550,altaria,24056,Q3669
6,prepozytura parafialna,22893,Q907
2548,prepozytura szpitalna,24055,Q3663
2549,altaria,22741,Q3667
480,plebania,21996,Q1113
1002,plebania,22880,Q1274
477,plebania,21984,Q1336
993,plebania,22827,Q2249
1003,plebania,22883,Q2502
2424,kolegium altarzystów,22068,Q450
2472,prepozytura parafialna,22753,Q908
2450,prepozytura szpitalna,24025,Q2873
2357,plebania,22874,Q667
2387,kasztelania,17272,Q363
2365,starostwo,14631,Q364
2363,altaria,22820,Q404
2362,altaria,22819,Q405
2458,altaria kolegiacka,22778,Q418
2368,dziekania kolegiacka,22882,Q419
2457,dziekania kolegiacka,22778,Q420
2454,kolegium altarzystów,22701,Q432
2367,kanonia kolegiacka,22882,Q424
2487,prepozytura szpitalna,24037,Q2874
2443,kolegium altarzystów,24022,Q428
2460,kolegium altarzystów,22781,Q433
2444,kolegium altarzystów,22071,Q434
2478,kolegium altarzystów,22711,Q435
2461,kolegium altarzystów,22721,Q436
2391,kolegium altarzystów,22113,Q437
2426,kolegium altarzystów,22018,Q438
2393,kolegium altarzystów,22040,Q439
2459,kolegium altarzystów,22762,Q440
2432,kolegium altarzystów,22089,Q458
2403,kolegium altarzystów,22075,Q441
2395,kolegium altarzystów,22030,Q442
2480,kolegium altarzystów,22720,Q443
2388,kolegium altarzystów,22067,Q444
2398,kolegium altarzystów,22023,Q445
2485,kolegium altarzystów,22845,Q447
2369,kolegium altarzystów,22882,Q448
2442,kolegium altarzystów,22044,Q449
