"table_name","column_name","description"
agad_ask_1_7_0_3_3_hasla,id,"liczba porządkowa, klucz podstawowy"
agad_ask_1_7_0_3_3_hasla,varia,"wypis źródłowy, komentarz"
agad_ask_1_7_0_3_3_hasla,funkcja,funkcja osoby lub nazwa instytucji
agad_ask_1_7_0_3_3_hasla,podatek_fl,wartość podatku we florenach
agad_ask_1_7_0_3_3_hasla,podatek_gr,wartość podatku w groszach
agad_ask_1_7_0_3_3_hasla,podatek_grz,wartość podatku w grzywnach
agad_ask_1_7_0_3_3_hasla,debita,"informacja o zaległości podatkowej, podatek nie został zapłacony"
agad_ask_1_7_0_3_3_hasla,miejscowosc,"nazwa miejscowości w brzmieniu źródłowym, nazwa miejscowości wynikająca z kontekstu w nawiasie kwadratowym"
agad_ask_1_7_0_3_3_hasla,osoba_zrd,imię i (lub) nazwisko osoby w brzmieniu źródłowym
agad_ask_1_7_0_3_3_hasla,wezwanie,wezwanie kościoła lub beneficjum
agad_ask_1_7_0_3_3_hasla,rola_osoba,"rola osoby lub instytucji (np. płatnik, były płatnik) "
agad_ask_1_7_0_3_3_hasla,podatek_fert,wartość podatku w wiardunkach
agad_ask_1_7_0_3_3_hasla,dekanat,"nazwa dekanatu, zmodernizowana"
agad_ask_1_7_0_3_91_hasla,id,"liczba porządkowa, klucz podstawowy"
agad_ask_1_7_0_3_91_hasla,funkcja,funkcja osoby lub nazwa instytucji
agad_ask_1_7_0_3_91_hasla,podstawa_grz_czysta,podstawa podatku w grzywnach srebra
agad_ask_1_7_0_3_91_hasla,podstawa_grz_obieg,podstawa podatku w grzywnach obiegowych
agad_ask_1_7_0_3_91_hasla,podatek_fl,wartość podatku we florenach
agad_ask_1_7_0_3_91_hasla,podatek_gr,wartość podatku w groszach
agad_ask_1_7_0_3_91_hasla,podatek_grz,wartość podatku w grzywnach
agad_ask_1_7_0_3_91_hasla,debita,"informacja o zaległości podatkowej, podatek nie został zapłacony"
agad_ask_1_7_0_3_91_hasla,varia,"wypis źródłowy, komentarz"
agad_ask_1_7_0_3_91_hasla,miejscowosc,"nazwa miejscowości w brzmieniu źródłowym, nazwa miejscowości wynikająca z kontekstu w nawiasie kwadratowym"
agad_ask_1_7_0_3_91_hasla,osoba_zrd,imię i (lub) nazwisko osoby w brzmieniu źródłowym
agad_ask_1_7_0_3_91_hasla,wezwanie,wezwanie kościoła lub beneficjum
agad_ask_1_7_0_3_91_hasla,rola_osoba,"rola osoby lub instytucji (np. płatnik, były płatnik) "
agad_ask_1_7_0_3_91_hasla,podstawa_gr,podstawa podatku w groszach
agad_ask_1_7_0_3_91_hasla,podstawa_fert,podstawa podatku w wiardunkach
agad_ask_1_7_0_3_91_hasla,podatek_fert,wartość podatku w wiardunkach
agad_ask_1_7_0_3_91_hasla,dekanat,"nazwa dekanatu, zmodernizowana"
hasla,id,"liczba porządkowa, klucz podstawowy"
hasla,hasla_3_id,klucz obcy do agad_ask_1_7_0_3_3_hasla.id
hasla,hasla_91_id,klucz obcy do agad_ask_1_7_0_3_91_hasla.id
indeksy,id,"liczba porządkowa, klucz podstawowy"
indeksy,slownik_id,"identyfikator hasła indeksowego osób, miejsc i instytucji, odpowiada wartościom w tabelach słownikowych: instytucje.instytucja_id, miejsca.miejsce_id, osoby.osoba_id"
