"miejsce_id","kategoria","nazwa","wezwanie","typ","kul_ob","komentarz","wikikul_type","wikikul_id"
22011,jednostka,Boguszyno,,parafia,,,Q2,Q3575
8851,miejsce,Kępa,,wieś,,,Q2903,Q3632
22026,jednostka,Lipno,,parafia,,,Q2,Q3576
22708,jednostka,Kursko,,parafia,,,Q2,Q3587
12090,miejsce,Niemierzewo,,wieś,,,Q2903,Q3633
12759,miejsce,Osieczna,,miasto,,,Q2902,Q2962
22713,jednostka,Czarmyśl,,parafia,,,Q2,Q3588
22715,jednostka,Chycina,,parafia,,,Q2,Q3589
22725,jednostka,Langfuld,,parafia,,,Q2,Q3590
22727,jednostka,Grochowo,,parafia,,,Q2,Q3591
22728,jednostka,Pieski,,parafia,,,Q2,Q3592
22732,jednostka,Łężce Wielkie,,parafia,,,Q2,Q3593
22739,jednostka,Żarzyn,,parafia,,,Q2,Q3594
22742,jednostka,Zębsko,,parafia,,,Q2,Q3595
9781,miejsce,Krępe,,wieś,,,Q2903,Q3637
22751,jednostka,Goruńsko,,parafia,,,Q2,Q3596
22752,jednostka,Kręsko,,parafia,,,Q2,Q3597
22755,jednostka,Policko,,parafia,,,Q2,Q3598
22764,jednostka,Niałek Wielki,,parafia,,,Q2,Q3599
11520,miejsce,Miłosław,,miasto,,,Q2902,Q2963
22769,jednostka,Chełmsko,,parafia,,,Q2,Q3600
22774,jednostka,Gorzyca,,parafia,,,Q2,Q3601
22782,jednostka,Brudzewo,,parafia,,,Q2,Q3602
22789,jednostka,Bukowiec,,parafia,,,Q2,Q3603
22881,jednostka,Grodziszczko,Jan Ch,parafia,13548,,Q2,Q2966
22882,jednostka,Szamotuły,Stanisław Bp,parafia,15639,,Q2,Q2967
14631,miejsce,Rogoźno,,miasto,,,Q2902,Q2960
22884,jednostka,Opatówko,Katarzyna PM,parafia,14001,,Q2,Q2968
22885,jednostka,Tulce,NarNMP,parafia,13680,,Q2,Q2969
22886,jednostka,Iwno,Michał A,parafia,13551,,Q2,Q2970
